CpuDebugInfo { acc_reg: 0, x_reg: 0, y_reg: 0, stk_ptr: fd, pgrm_ctr: c003, status: 22, fetched: 0, addr_abs: 20ad, addr_rel: 0, opcode_index: ad, opcode: Instruction { opcode: LDA, addressing_mode: ABS, cycles: 4 }, cycles: 5 }
CpuDebugInfo { acc_reg: 0, x_reg: 8c, y_reg: 0, stk_ptr: f7, pgrm_ctr: c018, status: a4, fetched: 0, addr_abs: c014, addr_rel: 0, opcode_index: ca, opcode: Instruction { opcode: DEX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 0, x_reg: 8c, y_reg: 0, stk_ptr: f7, pgrm_ctr: c019, status: a4, fetched: 0, addr_abs: c014, addr_rel: 0, opcode_index: fa, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 0, x_reg: 8c, y_reg: 0, stk_ptr: f7, pgrm_ctr: c01a, status: a4, fetched: 0, addr_abs: c014, addr_rel: 0, opcode_index: fa, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 0, x_reg: 8c, y_reg: 0, stk_ptr: f7, pgrm_ctr: c01c, status: a4, fetched: 0, addr_abs: c01c, addr_rel: 0, opcode_index: d0, opcode: Instruction { opcode: BNE, addressing_mode: REL, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: f7, pgrm_ctr: c01e, status: a4, fetched: 8d, addr_abs: c01e, addr_rel: 0, opcode_index: a9, opcode: Instruction { opcode: LDA, addressing_mode: IMM, cycles: 2 }, cycles: 3 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: f7, pgrm_ctr: c021, status: a4, fetched: 8d, addr_abs: ad8d, addr_rel: 0, opcode_index: 8d, opcode: Instruction { opcode: STA, addressing_mode: ABS, cycles: 4 }, cycles: 4 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8c, y_reg: 0, stk_ptr: f7, pgrm_ctr: c024, status: a4, fetched: 8e, addr_abs: 2020, addr_rel: 0, opcode_index: ad, opcode: Instruction { opcode: LDA, addressing_mode: ABS, cycles: 4 }, cycles: 5 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8c, y_reg: 0, stk_ptr: f7, pgrm_ctr: c026, status: a4, fetched: 8e, addr_abs: 620, addr_rel: 0, opcode_index: 20, opcode: Instruction { opcode: JSR, addressing_mode: ABS, cycles: 6 }, cycles: 6 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8c, y_reg: 0, stk_ptr: f7, pgrm_ctr: c028, status: 26, fetched: 0, addr_abs: 6, addr_rel: 0, opcode_index: 6, opcode: Instruction { opcode: ASL, addressing_mode: ZP0, cycles: 5 }, cycles: 5 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8e, y_reg: 0, stk_ptr: f7, pgrm_ctr: c02a, status: a4, fetched: 8e, addr_abs: c02a, addr_rel: 0, opcode_index: a2, opcode: Instruction { opcode: LDX, addressing_mode: IMM, cycles: 2 }, cycles: 3 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8e, y_reg: 0, stk_ptr: f7, pgrm_ctr: c02d, status: a4, fetched: 8e, addr_abs: 208e, addr_rel: 0, opcode_index: 8e, opcode: Instruction { opcode: STX, addressing_mode: ABS, cycles: 4 }, cycles: 4 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8e, y_reg: 0, stk_ptr: f7, pgrm_ctr: c02f, status: a4, fetched: 8e, addr_abs: 0, addr_rel: 0, opcode_index: 20, opcode: Instruction { opcode: JSR, addressing_mode: ABS, cycles: 6 }, cycles: 6 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8e, y_reg: 0, stk_ptr: f4, pgrm_ctr: c032, status: a4, fetched: 8e, addr_abs: c031, addr_rel: 0, opcode_index: 0, opcode: Instruction { opcode: BRK, addressing_mode: IMM, cycles: 7 }, cycles: 7 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8e, y_reg: 0, stk_ptr: f1, pgrm_ctr: c035, status: a4, fetched: 8e, addr_abs: c034, addr_rel: 0, opcode_index: 0, opcode: Instruction { opcode: BRK, addressing_mode: IMM, cycles: 7 }, cycles: 7 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8e, y_reg: 0, stk_ptr: f1, pgrm_ctr: c036, status: a4, fetched: 8e, addr_abs: c034, addr_rel: 0, opcode_index: 7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8d, y_reg: 0, stk_ptr: f1, pgrm_ctr: c037, status: a4, fetched: 8e, addr_abs: c034, addr_rel: 0, opcode_index: ca, opcode: Instruction { opcode: DEX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8c, y_reg: 0, stk_ptr: f1, pgrm_ctr: c038, status: a4, fetched: 8e, addr_abs: c034, addr_rel: 0, opcode_index: ca, opcode: Instruction { opcode: DEX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8c, y_reg: 0, stk_ptr: f1, pgrm_ctr: c039, status: a4, fetched: 8e, addr_abs: c034, addr_rel: 0, opcode_index: fa, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8c, y_reg: 0, stk_ptr: f1, pgrm_ctr: c03a, status: a4, fetched: 8e, addr_abs: c034, addr_rel: 0, opcode_index: fa, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8e, x_reg: 8c, y_reg: 0, stk_ptr: f1, pgrm_ctr: c03c, status: a4, fetched: 8e, addr_abs: c03c, addr_rel: 0, opcode_index: d0, opcode: Instruction { opcode: BNE, addressing_mode: REL, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: f1, pgrm_ctr: c03e, status: a4, fetched: 8d, addr_abs: c03e, addr_rel: 0, opcode_index: a9, opcode: Instruction { opcode: LDA, addressing_mode: IMM, cycles: 2 }, cycles: 3 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: f1, pgrm_ctr: c041, status: a4, fetched: 8d, addr_abs: d08d, addr_rel: 0, opcode_index: 8d, opcode: Instruction { opcode: STA, addressing_mode: ABS, cycles: 4 }, cycles: 4 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: f1, pgrm_ctr: c043, status: a4, fetched: 8d, addr_abs: c043, addr_rel: 0, opcode_index: d0, opcode: Instruction { opcode: BNE, addressing_mode: REL, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: f1, pgrm_ctr: c044, status: a4, fetched: 8d, addr_abs: c043, addr_rel: 0, opcode_index: fb, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: f1, pgrm_ctr: c046, status: a5, fetched: 0, addr_abs: 0, addr_rel: 0, opcode_index: d1, opcode: Instruction { opcode: CMP, addressing_mode: IZY, cycles: 5 }, cycles: 6 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: f1, pgrm_ctr: c047, status: a5, fetched: 8d, addr_abs: 0, addr_rel: 0, opcode_index: 7f, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: f1, pgrm_ctr: c048, status: a5, fetched: 8d, addr_abs: 0, addr_rel: 0, opcode_index: 7f, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: f1, pgrm_ctr: c049, status: a5, fetched: 8d, addr_abs: 0, addr_rel: 0, opcode_index: d3, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: f1, pgrm_ctr: c04a, status: a5, fetched: 8d, addr_abs: 0, addr_rel: 0, opcode_index: d3, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: ee, pgrm_ctr: c04d, status: a5, fetched: 8d, addr_abs: c04c, addr_rel: 0, opcode_index: 0, opcode: Instruction { opcode: BRK, addressing_mode: IMM, cycles: 7 }, cycles: 7 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: ee, pgrm_ctr: c04f, status: 26, fetched: 0, addr_abs: 8c, addr_rel: 0, opcode_index: 6, opcode: Instruction { opcode: ASL, addressing_mode: ZP0, cycles: 5 }, cycles: 5 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: ee, pgrm_ctr: c052, status: 26, fetched: 0, addr_abs: 2020, addr_rel: 0, opcode_index: 8c, opcode: Instruction { opcode: STY, addressing_mode: ABS, cycles: 4 }, cycles: 4 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c055, status: 26, fetched: 0, addr_abs: c054, addr_rel: 0, opcode_index: 0, opcode: Instruction { opcode: BRK, addressing_mode: IMM, cycles: 7 }, cycles: 7 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c056, status: 26, fetched: 8d, addr_abs: c054, addr_rel: 0, opcode_index: d7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c057, status: 26, fetched: 8d, addr_abs: c054, addr_rel: 0, opcode_index: 7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c058, status: 26, fetched: 8d, addr_abs: c054, addr_rel: 0, opcode_index: 7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c05a, status: 26, fetched: 8d, addr_abs: d0, addr_rel: 0, opcode_index: d0, opcode: Instruction { opcode: BNE, addressing_mode: REL, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c05b, status: 26, fetched: 8d, addr_abs: d0, addr_rel: 0, opcode_index: c3, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c05c, status: 26, fetched: 8d, addr_abs: d0, addr_rel: 0, opcode_index: c3, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c05e, status: a5, fetched: 0, addr_abs: 0, addr_rel: 0, opcode_index: d1, opcode: Instruction { opcode: CMP, addressing_mode: IZY, cycles: 5 }, cycles: 6 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c05f, status: a5, fetched: 8d, addr_abs: 0, addr_rel: 0, opcode_index: a7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c060, status: a5, fetched: 8d, addr_abs: 0, addr_rel: 0, opcode_index: a7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c062, status: a5, fetched: 8d, addr_abs: c062, addr_rel: 0, opcode_index: d0, opcode: Instruction { opcode: BNE, addressing_mode: REL, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c063, status: a5, fetched: 8d, addr_abs: c062, addr_rel: 0, opcode_index: fb, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c064, status: a5, fetched: 8d, addr_abs: c062, addr_rel: 0, opcode_index: fb, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c066, status: a5, fetched: 0, addr_abs: 0, addr_rel: 0, opcode_index: d1, opcode: Instruction { opcode: CMP, addressing_mode: IZY, cycles: 5 }, cycles: 6 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c067, status: a5, fetched: 8d, addr_abs: 0, addr_rel: 0, opcode_index: 7f, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c068, status: a5, fetched: 8d, addr_abs: 0, addr_rel: 0, opcode_index: 7f, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c069, status: a5, fetched: 8d, addr_abs: 0, addr_rel: 0, opcode_index: d3, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: eb, pgrm_ctr: c06a, status: a5, fetched: 8d, addr_abs: 0, addr_rel: 0, opcode_index: d3, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: e8, pgrm_ctr: c06d, status: a5, fetched: 8d, addr_abs: c06c, addr_rel: 0, opcode_index: 0, opcode: Instruction { opcode: BRK, addressing_mode: IMM, cycles: 7 }, cycles: 7 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: e8, pgrm_ctr: c06f, status: 26, fetched: 0, addr_abs: 8c, addr_rel: 0, opcode_index: 6, opcode: Instruction { opcode: ASL, addressing_mode: ZP0, cycles: 5 }, cycles: 5 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: e8, pgrm_ctr: c072, status: 26, fetched: 0, addr_abs: 2020, addr_rel: 0, opcode_index: 8c, opcode: Instruction { opcode: STY, addressing_mode: ABS, cycles: 4 }, cycles: 4 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: e5, pgrm_ctr: c075, status: 26, fetched: 0, addr_abs: c074, addr_rel: 0, opcode_index: 0, opcode: Instruction { opcode: BRK, addressing_mode: IMM, cycles: 7 }, cycles: 7 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: e5, pgrm_ctr: c076, status: 26, fetched: 8d, addr_abs: c074, addr_rel: 0, opcode_index: d7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: e5, pgrm_ctr: c077, status: 26, fetched: 8d, addr_abs: c074, addr_rel: 0, opcode_index: 7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: e5, pgrm_ctr: c078, status: 26, fetched: 8d, addr_abs: c074, addr_rel: 0, opcode_index: 7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: e5, pgrm_ctr: c07a, status: 26, fetched: 8d, addr_abs: d0, addr_rel: 0, opcode_index: d0, opcode: Instruction { opcode: BNE, addressing_mode: REL, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: e5, pgrm_ctr: c07b, status: 26, fetched: 8d, addr_abs: d0, addr_rel: 0, opcode_index: c3, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: e5, pgrm_ctr: c07c, status: 26, fetched: 8d, addr_abs: d0, addr_rel: 0, opcode_index: c3, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: e5, pgrm_ctr: c07e, status: a5, fetched: 0, addr_abs: 0, addr_rel: 0, opcode_index: d1, opcode: Instruction { opcode: CMP, addressing_mode: IZY, cycles: 5 }, cycles: 6 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: e5, pgrm_ctr: c07f, status: a5, fetched: 8d, addr_abs: 0, addr_rel: 0, opcode_index: a7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8c, y_reg: 0, stk_ptr: e5, pgrm_ctr: c080, status: a5, fetched: 8d, addr_abs: 0, addr_rel: 0, opcode_index: a7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 0, x_reg: 0, y_reg: 0, stk_ptr: fd, pgrm_ctr: c001, status: 20, fetched: 0, addr_abs: 0, addr_rel: 0, opcode_index: 2, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 0, x_reg: 0, y_reg: 0, stk_ptr: fd, pgrm_ctr: c002, status: 20, fetched: 0, addr_abs: 0, addr_rel: 0, opcode_index: 2, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 0, x_reg: 8e, y_reg: 0, stk_ptr: fd, pgrm_ctr: c004, status: a0, fetched: 8e, addr_abs: c004, addr_rel: 0, opcode_index: a2, opcode: Instruction { opcode: LDX, addressing_mode: IMM, cycles: 2 }, cycles: 3 }
CpuDebugInfo { acc_reg: 0, x_reg: 8e, y_reg: 0, stk_ptr: fd, pgrm_ctr: c007, status: a0, fetched: 8e, addr_abs: 208e, addr_rel: 0, opcode_index: 8e, opcode: Instruction { opcode: STX, addressing_mode: ABS, cycles: 4 }, cycles: 4 }
CpuDebugInfo { acc_reg: 0, x_reg: 8e, y_reg: 0, stk_ptr: fd, pgrm_ctr: c009, status: a0, fetched: 8e, addr_abs: 0, addr_rel: 0, opcode_index: 20, opcode: Instruction { opcode: JSR, addressing_mode: ABS, cycles: 6 }, cycles: 6 }
CpuDebugInfo { acc_reg: 0, x_reg: 8e, y_reg: 0, stk_ptr: fa, pgrm_ctr: c00c, status: a4, fetched: 8e, addr_abs: c00b, addr_rel: 0, opcode_index: 0, opcode: Instruction { opcode: BRK, addressing_mode: IMM, cycles: 7 }, cycles: 7 }
CpuDebugInfo { acc_reg: 0, x_reg: a0, y_reg: 0, stk_ptr: fa, pgrm_ctr: c00e, status: a4, fetched: a0, addr_abs: c00e, addr_rel: 0, opcode_index: a2, opcode: Instruction { opcode: LDX, addressing_mode: IMM, cycles: 2 }, cycles: 3 }
CpuDebugInfo { acc_reg: 0, x_reg: a0, y_reg: a9, stk_ptr: fa, pgrm_ctr: c010, status: a4, fetched: a9, addr_abs: c010, addr_rel: 0, opcode_index: a0, opcode: Instruction { opcode: LDY, addressing_mode: IMM, cycles: 2 }, cycles: 3 }
CpuDebugInfo { acc_reg: 8d, x_reg: a0, y_reg: a9, stk_ptr: fa, pgrm_ctr: c012, status: a4, fetched: 8d, addr_abs: c012, addr_rel: 0, opcode_index: a9, opcode: Instruction { opcode: LDA, addressing_mode: IMM, cycles: 2 }, cycles: 3 }
CpuDebugInfo { acc_reg: 8d, x_reg: a0, y_reg: a9, stk_ptr: fa, pgrm_ctr: c015, status: a4, fetched: 8d, addr_abs: 208d, addr_rel: 0, opcode_index: 8d, opcode: Instruction { opcode: STA, addressing_mode: ABS, cycles: 4 }, cycles: 4 }
CpuDebugInfo { acc_reg: 8d, x_reg: a0, y_reg: a9, stk_ptr: fa, pgrm_ctr: c017, status: a4, fetched: 8d, addr_abs: d0d0, addr_rel: 0, opcode_index: 20, opcode: Instruction { opcode: JSR, addressing_mode: ABS, cycles: 6 }, cycles: 6 }
CpuDebugInfo { acc_reg: 8d, x_reg: a0, y_reg: a9, stk_ptr: fa, pgrm_ctr: c019, status: a4, fetched: 8d, addr_abs: c019, addr_rel: 0, opcode_index: d0, opcode: Instruction { opcode: BNE, addressing_mode: REL, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: a0, y_reg: a8, stk_ptr: fa, pgrm_ctr: c01a, status: a4, fetched: 8d, addr_abs: c019, addr_rel: 0, opcode_index: 88, opcode: Instruction { opcode: DEY, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: a0, y_reg: a8, stk_ptr: fa, pgrm_ctr: c01b, status: a4, fetched: 8d, addr_abs: c019, addr_rel: 0, opcode_index: f7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: a0, y_reg: a8, stk_ptr: fa, pgrm_ctr: c01c, status: a4, fetched: 8d, addr_abs: c019, addr_rel: 0, opcode_index: f7, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: a0, y_reg: a8, stk_ptr: fa, pgrm_ctr: c01d, status: a4, fetched: 8d, addr_abs: c019, addr_rel: 0, opcode_index: 3f, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: a0, y_reg: a8, stk_ptr: fa, pgrm_ctr: c01e, status: a4, fetched: 8d, addr_abs: c019, addr_rel: 0, opcode_index: 3f, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: a0, y_reg: a8, stk_ptr: fa, pgrm_ctr: c020, status: 26, fetched: 0, addr_abs: 6, addr_rel: 0, opcode_index: 6, opcode: Instruction { opcode: ASL, addressing_mode: ZP0, cycles: 5 }, cycles: 5 }
CpuDebugInfo { acc_reg: 8d, x_reg: a0, y_reg: a8, stk_ptr: fa, pgrm_ctr: c021, status: 26, fetched: 8d, addr_abs: 6, addr_rel: 0, opcode_index: 2, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: a0, y_reg: a8, stk_ptr: fa, pgrm_ctr: c022, status: 26, fetched: 8d, addr_abs: 6, addr_rel: 0, opcode_index: 2, opcode: Instruction { opcode: XXX, addressing_mode: IMP, cycles: 2 }, cycles: 2 }
CpuDebugInfo { acc_reg: 8d, x_reg: 8e, y_reg: a8, stk_ptr: fa, pgrm_ctr: c024, status: a4, fetched: 8e, addr_abs: c024, addr_rel: 0, opcode_index: a2, opcode: Instruction { opcode: LDX, addressing_mode: IMM, cycles: 2 }, cycles: 3 }
